"BUDGET_YEAR","GROUP_DESC","NO_OF_REG","UPDATE_DATE"
"2560","น้ำมันและผลิตภัณฑ์น้ำมัน","465","2569-02-01"
"2560","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","85","2569-02-01"
"2560","พรมและสิ่งทอปูพื้น","5","2569-02-01"
"2560","ยาสูบ","127","2569-02-01"
"2560","รถจักรยานยนต์","26","2569-02-01"
"2560","รถยนต์","64","2569-02-01"
"2560","สถานอาบน้ำหรืออบตัวและนวด","68","2569-02-01"
"2560","สนามกอล์ฟ","90","2569-02-01"
"2560","สนามแข่งม้า","2","2569-02-01"
"2560","สารทำลายชั้นบรรยากาศโอโซน","2","2569-02-01"
"2560","สินค้าอื่น ๆ","24","2569-02-01"
"2560","สุรา","789","2569-02-01"
"2560","หินอ่อนและหินแกรนิต","3","2569-02-01"
"2560","เครื่องดื่ม","262","2569-02-01"
"2560","เครื่องปรับอากาศ","1","2569-02-01"
"2560","แก้วและเครื่องแก้ว","7","2569-02-01"
"2560","แบตเตอรี่","315","2569-02-01"
"2560","โคมไฟฟ้าและโคมระย้า","9","2569-02-01"
"2560","ไนต์คลับและดิสโกเธค","29","2569-02-01"
"2560","ไพ่","5","2569-02-01"
"2561","น้ำมันและผลิตภัณฑ์น้ำมัน","1136","2569-02-01"
"2561","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","272","2569-02-01"
"2561","พรมและสิ่งทอปูพื้น","14","2569-02-01"
"2561","ยาสูบ","9056","2569-02-01"
"2561","รถจักรยานยนต์","65","2569-02-01"
"2561","รถยนต์","168","2569-02-01"
"2561","สถานอาบน้ำหรืออบตัวและนวด","208","2569-02-01"
"2561","สนามกอล์ฟ","233","2569-02-01"
"2561","สนามแข่งม้า","5","2569-02-01"
"2561","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2561","สินค้าอื่น ๆ","131","2569-02-01"
"2561","สุรา","1636","2569-02-01"
"2561","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2561","เครื่องดื่ม","553","2569-02-01"
"2561","เครื่องปรับอากาศ","1","2569-02-01"
"2561","แก้วและเครื่องแก้ว","10","2569-02-01"
"2561","แบตเตอรี่","1286","2569-02-01"
"2561","โคมไฟฟ้าและโคมระย้า","13","2569-02-01"
"2561","ไนต์คลับและดิสโกเธค","290","2569-02-01"
"2561","ไพ่","8","2569-02-01"
"2562","น้ำมันและผลิตภัณฑ์น้ำมัน","1262","2569-02-01"
"2562","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","329","2569-02-01"
"2562","พรมและสิ่งทอปูพื้น","14","2569-02-01"
"2562","ยาสูบ","10013","2569-02-01"
"2562","รถจักรยานยนต์","74","2569-02-01"
"2562","รถยนต์","225","2569-02-01"
"2562","สถานอาบน้ำหรืออบตัวและนวด","219","2569-02-01"
"2562","สนามกอล์ฟ","243","2569-02-01"
"2562","สนามแข่งม้า","5","2569-02-01"
"2562","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2562","สินค้าอื่น ๆ","172","2569-02-01"
"2562","สุรา","1823","2569-02-01"
"2562","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2562","เครื่องดื่ม","640","2569-02-01"
"2562","เครื่องปรับอากาศ","1","2569-02-01"
"2562","แก้วและเครื่องแก้ว","11","2569-02-01"
"2562","แบตเตอรี่","1573","2569-02-01"
"2562","โคมไฟฟ้าและโคมระย้า","13","2569-02-01"
"2562","ไนต์คลับและดิสโกเธค","427","2569-02-01"
"2562","ไพ่","11","2569-02-01"
"2563","น้ำมันและผลิตภัณฑ์น้ำมัน","1360","2569-02-01"
"2563","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","385","2569-02-01"
"2563","พรมและสิ่งทอปูพื้น","14","2569-02-01"
"2563","ยาสูบ","10853","2569-02-01"
"2563","รถจักรยานยนต์","107","2569-02-01"
"2563","รถยนต์","291","2569-02-01"
"2563","สถานอาบน้ำหรืออบตัวและนวด","229","2569-02-01"
"2563","สนามกอล์ฟ","250","2569-02-01"
"2563","สนามแข่งม้า","5","2569-02-01"
"2563","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2563","สินค้าอื่น ๆ","222","2569-02-01"
"2563","สุรา","2011","2569-02-01"
"2563","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2563","เครื่องดื่ม","753","2569-02-01"
"2563","เครื่องปรับอากาศ","1","2569-02-01"
"2563","เรือ","1","2569-02-01"
"2563","แก้วและเครื่องแก้ว","11","2569-02-01"
"2563","แบตเตอรี่","1833","2569-02-01"
"2563","โคมไฟฟ้าและโคมระย้า","13","2569-02-01"
"2563","ไนต์คลับและดิสโกเธค","520","2569-02-01"
"2563","ไพ่","13","2569-02-01"
"2564","น้ำมันและผลิตภัณฑ์น้ำมัน","1453","2569-02-01"
"2564","สนามกอล์ฟ","255","2569-02-01"
"2564","สนามแข่งม้า","5","2569-02-01"
"2564","แบตเตอรี่","2041","2569-02-01"
"2564","ไนต์คลับและดิสโกเธค","555","2569-02-01"
"2564","ยาสูบ","11438","2569-02-01"
"2564","แก้วและเครื่องแก้ว","13","2569-02-01"
"2564","ไพ่","14","2569-02-01"
"2564","เครื่องดื่ม","832","2569-02-01"
"2564","พรมและสิ่งทอปูพื้น","15","2569-02-01"
"2564","รถจักรยานยนต์","178","2569-02-01"
"2564","สถานอาบน้ำหรืออบตัวและนวด","232","2569-02-01"
"2564","สินค้าอื่น ๆ","244","2569-02-01"
"2564","เครื่องปรับอากาศ","1","2569-02-01"
"2564","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","430","2569-02-01"
"2564","รถยนต์","363","2569-02-01"
"2564","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2564","โคมไฟฟ้าและโคมระย้า","14","2569-02-01"
"2564","สุรา","2220","2569-02-01"
"2564","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2564","เรือ","1","2569-02-01"
"2565","น้ำมันและผลิตภัณฑ์น้ำมัน","1528","2569-02-01"
"2565","สนามกอล์ฟ","261","2569-02-01"
"2565","สนามแข่งม้า","5","2569-02-01"
"2565","แก้วและเครื่องแก้ว","16","2569-02-01"
"2565","แบตเตอรี่","2234","2569-02-01"
"2565","ไนต์คลับและดิสโกเธค","611","2569-02-01"
"2565","ยาสูบ","11813","2569-02-01"
"2565","ไพ่","14","2569-02-01"
"2565","เครื่องดื่ม","907","2569-02-01"
"2565","พรมและสิ่งทอปูพื้น","15","2569-02-01"
"2565","รถจักรยานยนต์","245","2569-02-01"
"2565","สถานอาบน้ำหรืออบตัวและนวด","240","2569-02-01"
"2565","สินค้าอื่น ๆ","281","2569-02-01"
"2565","เครื่องปรับอากาศ","1","2569-02-01"
"2565","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","469","2569-02-01"
"2565","รถยนต์","451","2569-02-01"
"2565","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2565","โคมไฟฟ้าและโคมระย้า","14","2569-02-01"
"2565","สุรา","2389","2569-02-01"
"2565","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2565","เรือ","1","2569-02-01"
"2566","น้ำมันและผลิตภัณฑ์น้ำมัน","1638","2569-02-01"
"2566","สนามกอล์ฟ","267","2569-02-01"
"2566","สนามแข่งม้า","5","2569-02-01"
"2566","แก้วและเครื่องแก้ว","16","2569-02-01"
"2566","แบตเตอรี่","2453","2569-02-01"
"2566","ไนต์คลับและดิสโกเธค","721","2569-02-01"
"2566","ยาสูบ","12325","2569-02-01"
"2566","ไพ่","15","2569-02-01"
"2566","เครื่องดื่ม","976","2569-02-01"
"2566","พรมและสิ่งทอปูพื้น","15","2569-02-01"
"2566","รถจักรยานยนต์","311","2569-02-01"
"2566","สถานอาบน้ำหรืออบตัวและนวด","244","2569-02-01"
"2566","สินค้าอื่น ๆ","313","2569-02-01"
"2566","เครื่องปรับอากาศ","1","2569-02-01"
"2566","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","527","2569-02-01"
"2566","รถยนต์","528","2569-02-01"
"2566","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2566","โคมไฟฟ้าและโคมระย้า","14","2569-02-01"
"2566","สุรา","2649","2569-02-01"
"2566","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2566","เรือ","1","2569-02-01"
"2567","น้ำมันและผลิตภัณฑ์น้ำมัน","1761","2569-02-01"
"2567","สนามกอล์ฟ","273","2569-02-01"
"2567","สนามแข่งม้า","5","2569-02-01"
"2567","แก้วและเครื่องแก้ว","16","2569-02-01"
"2567","แบตเตอรี่","2752","2569-02-01"
"2567","ไนต์คลับและดิสโกเธค","1188","2569-02-01"
"2567","ยาสูบ","13138","2569-02-01"
"2567","ไพ่","17","2569-02-01"
"2567","เครื่องดื่ม","1066","2569-02-01"
"2567","พรมและสิ่งทอปูพื้น","15","2569-02-01"
"2567","รถจักรยานยนต์","377","2569-02-01"
"2567","สถานอาบน้ำหรืออบตัวและนวด","262","2569-02-01"
"2567","สินค้าอื่น ๆ","354","2569-02-01"
"2567","เครื่องปรับอากาศ","1","2569-02-01"
"2567","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","659","2569-02-01"
"2567","รถยนต์","626","2569-02-01"
"2567","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2567","โคมไฟฟ้าและโคมระย้า","14","2569-02-01"
"2567","สุรา","3040","2569-02-01"
"2567","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2567","เรือ","1","2569-02-01"
"2568","น้ำมันและผลิตภัณฑ์น้ำมัน","1919","2569-02-01"
"2568","สนามกอล์ฟ","279","2569-02-01"
"2568","สนามแข่งม้า","5","2569-02-01"
"2568","แก้วและเครื่องแก้ว","16","2569-02-01"
"2568","แบตเตอรี่","3166","2569-02-01"
"2568","ไนต์คลับและดิสโกเธค","1599","2569-02-01"
"2568","ยาสูบ","14173","2569-02-01"
"2568","ไพ่","20","2569-02-01"
"2568","เครื่องดื่ม","1175","2569-02-01"
"2568","พรมและสิ่งทอปูพื้น","16","2569-02-01"
"2568","รถจักรยานยนต์","458","2569-02-01"
"2568","สถานอาบน้ำหรืออบตัวและนวด","265","2569-02-01"
"2568","สินค้าอื่น ๆ","401","2569-02-01"
"2568","เครื่องปรับอากาศ","1","2569-02-01"
"2568","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","987","2569-02-01"
"2568","รถยนต์","740","2569-02-01"
"2568","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2568","โคมไฟฟ้าและโคมระย้า","14","2569-02-01"
"2568","สุรา","3400","2569-02-01"
"2568","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2568","เรือ","1","2569-02-01"
"2569","น้ำมันและผลิตภัณฑ์น้ำมัน","1972","2569-02-01"
"2569","สนามกอล์ฟ","281","2569-02-01"
"2569","สนามแข่งม้า","5","2569-02-01"
"2569","แก้วและเครื่องแก้ว","17","2569-02-01"
"2569","แบตเตอรี่","3306","2569-02-01"
"2569","ไนต์คลับและดิสโกเธค","1738","2569-02-01"
"2569","ยาสูบ","14305","2569-02-01"
"2569","ไพ่","20","2569-02-01"
"2569","เครื่องดื่ม","1197","2569-02-01"
"2569","พรมและสิ่งทอปูพื้น","17","2569-02-01"
"2569","รถจักรยานยนต์","469","2569-02-01"
"2569","สถานอาบน้ำหรืออบตัวและนวด","265","2569-02-01"
"2569","สินค้าอื่น ๆ","410","2569-02-01"
"2569","เครื่องปรับอากาศ","1","2569-02-01"
"2569","ผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","1056","2569-02-01"
"2569","รถยนต์","775","2569-02-01"
"2569","สารทำลายชั้นบรรยากาศโอโซน","6","2569-02-01"
"2569","โคมไฟฟ้าและโคมระย้า","14","2569-02-01"
"2569","สุรา","3500","2569-02-01"
"2569","หินอ่อนและหินแกรนิต","5","2569-02-01"
"2569","เรือ","1","2569-02-01"
